Team One,Team Two,Percent
Boston Celtics,Oklahoma City Thunder,36
Boston Celtics,Toronto Raptors,30
Boston Celtics,Cleveland Cavaliers,25
Boston Celtics,San Antonio Spurs,21
Boston Celtics,Golden State Warriors,17
Atlanta Hawks,Philadelphia 76ers,99
Atlanta Hawks,Los Angeles Lakers,72
Atlanta Hawks,Brooklyn Nets,61
Atlanta Hawks,Phoenix Suns,61
Atlanta Hawks,Minnesota Timberwolves,62
Atlanta Hawks,New Orleans Pelicans,63
Atlanta Hawks,New York Knicks,63
Atlanta Hawks,Sacramento Kings,64
Atlanta Hawks,Milwaukee Bucks,63
Atlanta Hawks,Denver Nuggets,62
Atlanta Hawks,Orlando Magic,60
Atlanta Hawks,Utah Jazz,56
Atlanta Hawks,Washington Wizards,51
Atlanta Hawks,Houston Rockets,45
Atlanta Hawks,Chicago Bulls,40
Atlanta Hawks,Memphis Grizzlies,37
Atlanta Hawks,Dallas Mavericks,41
Atlanta Hawks,Portland Trail Blazers,46
Atlanta Hawks,Detroit Pistons,48
Atlanta Hawks,Indiana Pacers,47
Atlanta Hawks,Miami Heat,45
Atlanta Hawks,Charlotte Hornets,44
Atlanta Hawks,Boston Celtics,43
Atlanta Hawks,Los Angeles Clippers,41
Atlanta Hawks,Oklahoma City Thunder,40
Atlanta Hawks,Toronto Raptors,37
Atlanta Hawks,Cleveland Cavaliers,31
Atlanta Hawks,San Antonio Spurs,25
Atlanta Hawks,Golden State Warriors,21
Los Angeles Clippers,Philadelphia 76ers,99
Los Angeles Clippers,Los Angeles Lakers,72
Los Angeles Clippers,Brooklyn Nets,61
Los Angeles Clippers,Phoenix Suns,61
Los Angeles Clippers,Minnesota Timberwolves,62
Los Angeles Clippers,New Orleans Pelicans,63
Los Angeles Clippers,New York Knicks,64
Los Angeles Clippers,Sacramento Kings,64
Los Angeles Clippers,Milwaukee Bucks,64
Los Angeles Clippers,Denver Nuggets,63
Los Angeles Clippers,Orlando Magic,62
Los Angeles Clippers,Utah Jazz,59
Los Angeles Clippers,Washington Wizards,55
Los Angeles Clippers,Houston Rockets,49
Los Angeles Clippers,Chicago Bulls,43
Los Angeles Clippers,Memphis Grizzlies,38
Los Angeles Clippers,Dallas Mavericks,37
Los Angeles Clippers,Portland Trail Blazers,42
Los Angeles Clippers,Detroit Pistons,47
Los Angeles Clippers,Indiana Pacers,48
Los Angeles Clippers,Miami Heat,46
Los Angeles Clippers,Charlotte Hornets,45
Los Angeles Clippers,Boston Celtics,44
Los Angeles Clippers,Atlanta Hawks,43
Los Angeles Clippers,Oklahoma City Thunder,41
Los Angeles Clippers,Toronto Raptors,40
Los Angeles Clippers,Cleveland Cavaliers,37
Los Angeles Clippers,San Antonio Spurs,32
Los Angeles Clippers,Golden State Warriors,26
Oklahoma City Thunder,Philadelphia 76ers,99
Oklahoma City Thunder,Los Angeles Lakers,73
Oklahoma City Thunder,Brooklyn Nets,61
Oklahoma City Thunder,Phoenix Suns,60
Oklahoma City Thunder,Minnesota Timberwolves,62
Oklahoma City Thunder,New Orleans Pelicans,63
Oklahoma City Thunder,New York Knicks,64
Oklahoma City Thunder,Sacramento Kings,64
Oklahoma City Thunder,Milwaukee Bucks,65
Oklahoma City Thunder,Denver Nuggets,65
Oklahoma City Thunder,Orlando Magic,63
Oklahoma City Thunder,Utah Jazz,61
Oklahoma City Thunder,Washington Wizards,58
Oklahoma City Thunder,Houston Rockets,53
Oklahoma City Thunder,Chicago Bulls,47
Oklahoma City Thunder,Memphis Grizzlies,41
Oklahoma City Thunder,Dallas Mavericks,37
Oklahoma City Thunder,Portland Trail Blazers,38
Oklahoma City Thunder,Detroit Pistons,44
Oklahoma City Thunder,Indiana Pacers,47
Oklahoma City Thunder,Miami Heat,47
Oklahoma City Thunder,Charlotte Hornets,46
Oklahoma City Thunder,Boston Celtics,45
Oklahoma City Thunder,Atlanta Hawks,44
Oklahoma City Thunder,Los Angeles Clippers,43
Oklahoma City Thunder,Toronto Raptors,41
Oklahoma City Thunder,Cleveland Cavaliers,40
Oklahoma City Thunder,San Antonio Spurs,37
Oklahoma City Thunder,Golden State Warriors,33
Toronto Raptors,Philadelphia 76ers,99
Toronto Raptors,Los Angeles Lakers,73
Toronto Raptors,Brooklyn Nets,61
Toronto Raptors,Phoenix Suns,60
Toronto Raptors,Minnesota Timberwolves,61
Toronto Raptors,New Orleans Pelicans,63
Toronto Raptors,New York Knicks,64
Toronto Raptors,Sacramento Kings,65
Toronto Raptors,Milwaukee Bucks,65
Toronto Raptors,Denver Nuggets,65
Toronto Raptors,Orlando Magic,65
Toronto Raptors,Utah Jazz,63
Toronto Raptors,Washington Wizards,60
Toronto Raptors,Houston Rockets,56
Toronto Raptors,Chicago Bulls,51
Toronto Raptors,Memphis Grizzlies,45
Toronto Raptors,Dallas Mavericks,39
Toronto Raptors,Portland Trail Blazers,36
Toronto Raptors,Detroit Pistons,39
Toronto Raptors,Indiana Pacers,45
Toronto Raptors,Miami Heat,47
Toronto Raptors,Charlotte Hornets,47
Toronto Raptors,Boston Celtics,46
Toronto Raptors,Atlanta Hawks,44
Toronto Raptors,Los Angeles Clippers,43
Toronto Raptors,Oklahoma City Thunder,42
Toronto Raptors,Cleveland Cavaliers,41
Toronto Raptors,San Antonio Spurs,40
Toronto Raptors,Golden State Warriors,38
Cleveland Cavaliers,Philadelphia 76ers,99
Cleveland Cavaliers,Los Angeles Lakers,74
Cleveland Cavaliers,Brooklyn Nets,60
Cleveland Cavaliers,Phoenix Suns,60
Cleveland Cavaliers,Minnesota Timberwolves,61
Cleveland Cavaliers,New Orleans Pelicans,62
Cleveland Cavaliers,New York Knicks,64
Cleveland Cavaliers,Sacramento Kings,65
Cleveland Cavaliers,Milwaukee Bucks,65
Cleveland Cavaliers,Denver Nuggets,66
Cleveland Cavaliers,Orlando Magic,66
Cleveland Cavaliers,Utah Jazz,65
Cleveland Cavaliers,Washington Wizards,63
Cleveland Cavaliers,Houston Rockets,59
Cleveland Cavaliers,Chicago Bulls,55
Cleveland Cavaliers,Memphis Grizzlies,49
Cleveland Cavaliers,Dallas Mavericks,42
Cleveland Cavaliers,Portland Trail Blazers,37
Cleveland Cavaliers,Detroit Pistons,36
Cleveland Cavaliers,Indiana Pacers,41
Cleveland Cavaliers,Miami Heat,46
Cleveland Cavaliers,Charlotte Hornets,47
Cleveland Cavaliers,Boston Celtics,47
Cleveland Cavaliers,Atlanta Hawks,45
Cleveland Cavaliers,Los Angeles Clippers,44
Cleveland Cavaliers,Oklahoma City Thunder,43
Cleveland Cavaliers,Toronto Raptors,42
Cleveland Cavaliers,San Antonio Spurs,41
Cleveland Cavaliers,Golden State Warriors,40
San Antonio Spurs,Philadelphia 76ers,99
San Antonio Spurs,Los Angeles Lakers,74
San Antonio Spurs,Brooklyn Nets,60
San Antonio Spurs,Phoenix Suns,60
San Antonio Spurs,Minnesota Timberwolves,61
San Antonio Spurs,New Orleans Pelicans,62
San Antonio Spurs,New York Knicks,63
San Antonio Spurs,Sacramento Kings,65
San Antonio Spurs,Milwaukee Bucks,65
San Antonio Spurs,Denver Nuggets,66
San Antonio Spurs,Orlando Magic,66
San Antonio Spurs,Utah Jazz,66
San Antonio Spurs,Washington Wizards,65
San Antonio Spurs,Houston Rockets,62
San Antonio Spurs,Chicago Bulls,58
San Antonio Spurs,Memphis Grizzlies,53
San Antonio Spurs,Dallas Mavericks,46
San Antonio Spurs,Portland Trail Blazers,40
San Antonio Spurs,Detroit Pistons,36
San Antonio Spurs,Indiana Pacers,36
San Antonio Spurs,Miami Heat,42
San Antonio Spurs,Charlotte Hornets,47
San Antonio Spurs,Boston Celtics,47
San Antonio Spurs,Atlanta Hawks,46
San Antonio Spurs,Los Angeles Clippers,45
San Antonio Spurs,Oklahoma City Thunder,44
San Antonio Spurs,Toronto Raptors,43
San Antonio Spurs,Cleveland Cavaliers,42
San Antonio Spurs,Golden State Warriors,40
Golden State Warriors,Philadelphia 76ers,99
Golden State Warriors,Los Angeles Lakers,75
Golden State Warriors,Brooklyn Nets,60
Golden State Warriors,Phoenix Suns,59
Golden State Warriors,Minnesota Timberwolves,61
Golden State Warriors,New Orleans Pelicans,62
Golden State Warriors,New York Knicks,63
Golden State Warriors,Sacramento Kings,64
Golden State Warriors,Milwaukee Bucks,66
Golden State Warriors,Denver Nuggets,66
Golden State Warriors,Orlando Magic,67
Golden State Warriors,Utah Jazz,67
Golden State Warriors,Washington Wizards,66
Golden State Warriors,Houston Rockets,64
Golden State Warriors,Chicago Bulls,61
Golden State Warriors,Memphis Grizzlies,56
Golden State Warriors,Dallas Mavericks,50
Golden State Warriors,Portland Trail Blazers,44
Golden State Warriors,Detroit Pistons,38
Golden State Warriors,Indiana Pacers,35
Golden State Warriors,Miami Heat,38
Golden State Warriors,Charlotte Hornets,44
Golden State Warriors,Boston Celtics,47
Golden State Warriors,Atlanta Hawks,47
Golden State Warriors,Los Angeles Clippers,46
Golden State Warriors,Oklahoma City Thunder,45
Golden State Warriors,Toronto Raptors,44
Golden State Warriors,Cleveland Cavaliers,43
Golden State Warriors,San Antonio Spurs,42
