Philadelphia 76ers,Los Angeles Lakers,24
Philadelphia 76ers,Brooklyn Nets,28
Philadelphia 76ers,Phoenix Suns,29
Philadelphia 76ers,Minnesota Timberwolves,30
Philadelphia 76ers,New Orleans Pelicans,30
Philadelphia 76ers,New York Knicks,31
Philadelphia 76ers,Sacramento Kings,31
Philadelphia 76ers,Milwaukee Bucks,31
Philadelphia 76ers,Denver Nuggets,31
Philadelphia 76ers,Orlando Magic,32
Philadelphia 76ers,Utah Jazz,32
Philadelphia 76ers,Washington Wizards,32
Philadelphia 76ers,Houston Rockets,32
Philadelphia 76ers,Chicago Bulls,32
Philadelphia 76ers,Memphis Grizzlies,32
Philadelphia 76ers,Dallas Mavericks,32
Philadelphia 76ers,Portland Trail Blazers,32
Philadelphia 76ers,Detroit Pistons,32
Philadelphia 76ers,Indiana Pacers,31
Philadelphia 76ers,Miami Heat,31
Philadelphia 76ers,Charlotte Hornets,31
Philadelphia 76ers,Boston Celtics,31
Philadelphia 76ers,Atlanta Hawks,31
Philadelphia 76ers,Los Angeles Clippers,31
Philadelphia 76ers,Oklahoma City Thunder,31
Philadelphia 76ers,Toronto Raptors,31
Philadelphia 76ers,Cleveland Cavaliers,31
Philadelphia 76ers,San Antonio Spurs,31
Philadelphia 76ers,Golden State Warriors,31
Los Angeles Lakers,Philadelphia 76ers,37
Los Angeles Lakers,Brooklyn Nets,36
Los Angeles Lakers,Phoenix Suns,32
Los Angeles Lakers,Minnesota Timberwolves,29
Los Angeles Lakers,New Orleans Pelicans,26
Los Angeles Lakers,New York Knicks,24
Los Angeles Lakers,Sacramento Kings,23
Los Angeles Lakers,Milwaukee Bucks,22
Los Angeles Lakers,Denver Nuggets,22
Los Angeles Lakers,Orlando Magic,23
Los Angeles Lakers,Utah Jazz,24
Los Angeles Lakers,Washington Wizards,25
Los Angeles Lakers,Houston Rockets,26
Los Angeles Lakers,Chicago Bulls,27
Los Angeles Lakers,Memphis Grizzlies,28
Los Angeles Lakers,Dallas Mavericks,29
Los Angeles Lakers,Portland Trail Blazers,30
Los Angeles Lakers,Detroit Pistons,30
Los Angeles Lakers,Indiana Pacers,30
Los Angeles Lakers,Miami Heat,31
Los Angeles Lakers,Charlotte Hornets,31
Los Angeles Lakers,Boston Celtics,31
Los Angeles Lakers,Atlanta Hawks,31
Los Angeles Lakers,Los Angeles Clippers,31
Los Angeles Lakers,Oklahoma City Thunder,31
Los Angeles Lakers,Toronto Raptors,31
Los Angeles Lakers,Cleveland Cavaliers,31
Los Angeles Lakers,San Antonio Spurs,31
Los Angeles Lakers,Golden State Warriors,31
Brooklyn Nets,Philadelphia 76ers,50
Brooklyn Nets,Los Angeles Lakers,50
Brooklyn Nets,Phoenix Suns,39
Brooklyn Nets,Minnesota Timberwolves,34
Brooklyn Nets,New Orleans Pelicans,30
Brooklyn Nets,New York Knicks,26
Brooklyn Nets,Sacramento Kings,23
Brooklyn Nets,Milwaukee Bucks,20
Brooklyn Nets,Denver Nuggets,17
Brooklyn Nets,Orlando Magic,16
Brooklyn Nets,Utah Jazz,15
Brooklyn Nets,Washington Wizards,14
Brooklyn Nets,Houston Rockets,15
Brooklyn Nets,Chicago Bulls,16
Brooklyn Nets,Memphis Grizzlies,17
Brooklyn Nets,Dallas Mavericks,19
Brooklyn Nets,Portland Trail Blazers,20
Brooklyn Nets,Detroit Pistons,22
Brooklyn Nets,Indiana Pacers,24
Brooklyn Nets,Miami Heat,26
Brooklyn Nets,Charlotte Hornets,27
Brooklyn Nets,Boston Celtics,28
Brooklyn Nets,Atlanta Hawks,29
Brooklyn Nets,Los Angeles Clippers,29
Brooklyn Nets,Oklahoma City Thunder,30
Brooklyn Nets,Toronto Raptors,30
Brooklyn Nets,Cleveland Cavaliers,31
Brooklyn Nets,San Antonio Spurs,31
Brooklyn Nets,Golden State Warriors,31
Phoenix Suns,Philadelphia 76ers,59
Phoenix Suns,Los Angeles Lakers,59
Phoenix Suns,Brooklyn Nets,54
Phoenix Suns,Minnesota Timberwolves,41
Phoenix Suns,New Orleans Pelicans,36
Phoenix Suns,New York Knicks,31
Phoenix Suns,Sacramento Kings,27
Phoenix Suns,Milwaukee Bucks,24
Phoenix Suns,Denver Nuggets,21
Phoenix Suns,Orlando Magic,18
Phoenix Suns,Utah Jazz,15
Phoenix Suns,Washington Wizards,13
Phoenix Suns,Houston Rockets,11
Phoenix Suns,Chicago Bulls,10
Phoenix Suns,Memphis Grizzlies,9
Phoenix Suns,Dallas Mavericks,9
Phoenix Suns,Portland Trail Blazers,9
Phoenix Suns,Detroit Pistons,10
Phoenix Suns,Indiana Pacers,11
Phoenix Suns,Miami Heat,13
Phoenix Suns,Charlotte Hornets,15
Phoenix Suns,Boston Celtics,17
Phoenix Suns,Atlanta Hawks,20
Phoenix Suns,Los Angeles Clippers,22
Phoenix Suns,Oklahoma City Thunder,24
Phoenix Suns,Toronto Raptors,25
Phoenix Suns,Cleveland Cavaliers,27
Phoenix Suns,San Antonio Spurs,28
Phoenix Suns,Golden State Warriors,29
Minnesota Timberwolves,Philadelphia 76ers,64
Minnesota Timberwolves,Los Angeles Lakers,65
Minnesota Timberwolves,Brooklyn Nets,61
Minnesota Timberwolves,Phoenix Suns,55
Minnesota Timberwolves,New Orleans Pelicans,43
Minnesota Timberwolves,New York Knicks,37
Minnesota Timberwolves,Sacramento Kings,33
Minnesota Timberwolves,Milwaukee Bucks,29
Minnesota Timberwolves,Denver Nuggets,26
Minnesota Timberwolves,Orlando Magic,23
Minnesota Timberwolves,Utah Jazz,21
Minnesota Timberwolves,Washington Wizards,18
Minnesota Timberwolves,Houston Rockets,15
Minnesota Timberwolves,Chicago Bulls,13
Minnesota Timberwolves,Memphis Grizzlies,11
Minnesota Timberwolves,Dallas Mavericks,9
Minnesota Timberwolves,Portland Trail Blazers,7
Minnesota Timberwolves,Detroit Pistons,6
Minnesota Timberwolves,Indiana Pacers,5
Minnesota Timberwolves,Miami Heat,5
Minnesota Timberwolves,Charlotte Hornets,5
Minnesota Timberwolves,Boston Celtics,6
Minnesota Timberwolves,Atlanta Hawks,7
Minnesota Timberwolves,Los Angeles Clippers,8
Minnesota Timberwolves,Oklahoma City Thunder,10
Minnesota Timberwolves,Toronto Raptors,12
Minnesota Timberwolves,Cleveland Cavaliers,15
Minnesota Timberwolves,San Antonio Spurs,17
Minnesota Timberwolves,Golden State Warriors,20
New Orleans Pelicans,Philadelphia 76ers,68
New Orleans Pelicans,Los Angeles Lakers,70
New Orleans Pelicans,Brooklyn Nets,66
New Orleans Pelicans,Phoenix Suns,61
New Orleans Pelicans,Minnesota Timberwolves,56
New Orleans Pelicans,New York Knicks,44
New Orleans Pelicans,Sacramento Kings,38
New Orleans Pelicans,Milwaukee Bucks,34
New Orleans Pelicans,Denver Nuggets,31
New Orleans Pelicans,Orlando Magic,28
New Orleans Pelicans,Utah Jazz,26
New Orleans Pelicans,Washington Wizards,24
New Orleans Pelicans,Houston Rockets,21
New Orleans Pelicans,Chicago Bulls,18
New Orleans Pelicans,Memphis Grizzlies,16
New Orleans Pelicans,Dallas Mavericks,13
New Orleans Pelicans,Portland Trail Blazers,11
New Orleans Pelicans,Detroit Pistons,9
New Orleans Pelicans,Indiana Pacers,7
New Orleans Pelicans,Miami Heat,6
New Orleans Pelicans,Charlotte Hornets,4
New Orleans Pelicans,Boston Celtics,3
New Orleans Pelicans,Atlanta Hawks,3
New Orleans Pelicans,Los Angeles Clippers,2
New Orleans Pelicans,Oklahoma City Thunder,2
New Orleans Pelicans,Toronto Raptors,3
New Orleans Pelicans,Cleveland Cavaliers,3
New Orleans Pelicans,San Antonio Spurs,4
New Orleans Pelicans,Golden State Warriors,6
New York Knicks,Philadelphia 76ers,70
New York Knicks,Los Angeles Lakers,73
New York Knicks,Brooklyn Nets,70
New York Knicks,Phoenix Suns,66
New York Knicks,Minnesota Timberwolves,61
New York Knicks,New Orleans Pelicans,56
New York Knicks,Sacramento Kings,45
New York Knicks,Milwaukee Bucks,39
New York Knicks,Denver Nuggets,35
New York Knicks,Orlando Magic,32
New York Knicks,Utah Jazz,30
New York Knicks,Washington Wizards,28
New York Knicks,Houston Rockets,26
New York Knicks,Chicago Bulls,24
New York Knicks,Memphis Grizzlies,22
New York Knicks,Dallas Mavericks,19
New York Knicks,Portland Trail Blazers,17
New York Knicks,Detroit Pistons,14
New York Knicks,Indiana Pacers,12
New York Knicks,Miami Heat,10
New York Knicks,Charlotte Hornets,8
New York Knicks,Boston Celtics,6
New York Knicks,Atlanta Hawks,5
New York Knicks,Los Angeles Clippers,3
New York Knicks,Oklahoma City Thunder,2
New York Knicks,Toronto Raptors,2
New York Knicks,Cleveland Cavaliers,1
New York Knicks,San Antonio Spurs,1
New York Knicks,Golden State Warriors,1
Sacramento Kings,Philadelphia 76ers,73
Sacramento Kings,Los Angeles Lakers,76
Sacramento Kings,Brooklyn Nets,74
Sacramento Kings,Phoenix Suns,69
Sacramento Kings,Minnesota Timberwolves,64
Sacramento Kings,New Orleans Pelicans,60
Sacramento Kings,New York Knicks,55
Sacramento Kings,Milwaukee Bucks,45
Sacramento Kings,Denver Nuggets,40
Sacramento Kings,Orlando Magic,36
Sacramento Kings,Utah Jazz,33
Sacramento Kings,Washington Wizards,32
Sacramento Kings,Houston Rockets,30
Sacramento Kings,Chicago Bulls,29
Sacramento Kings,Memphis Grizzlies,27
Sacramento Kings,Dallas Mavericks,25
Sacramento Kings,Portland Trail Blazers,23
Sacramento Kings,Detroit Pistons,20
Sacramento Kings,Indiana Pacers,18
Sacramento Kings,Miami Heat,15
Sacramento Kings,Charlotte Hornets,13
Sacramento Kings,Boston Celtics,11
Sacramento Kings,Atlanta Hawks,9
Sacramento Kings,Los Angeles Clippers,7
Sacramento Kings,Oklahoma City Thunder,5
Sacramento Kings,Toronto Raptors,4
Sacramento Kings,Cleveland Cavaliers,3
Sacramento Kings,San Antonio Spurs,2
Sacramento Kings,Golden State Warriors,1
Milwaukee Bucks,Philadelphia 76ers,75
Milwaukee Bucks,Los Angeles Lakers,78
Milwaukee Bucks,Brooklyn Nets,77
Milwaukee Bucks,Phoenix Suns,72
Milwaukee Bucks,Minnesota Timberwolves,67
Milwaukee Bucks,New Orleans Pelicans,63
Milwaukee Bucks,New York Knicks,59
Milwaukee Bucks,Sacramento Kings,55
Milwaukee Bucks,Denver Nuggets,45
Milwaukee Bucks,Orlando Magic,41
Milwaukee Bucks,Utah Jazz,37
Milwaukee Bucks,Washington Wizards,34
Milwaukee Bucks,Houston Rockets,33
Milwaukee Bucks,Chicago Bulls,31
Milwaukee Bucks,Memphis Grizzlies,30
Milwaukee Bucks,Dallas Mavericks,29
Milwaukee Bucks,Portland Trail Blazers,28
Milwaukee Bucks,Detroit Pistons,26
Milwaukee Bucks,Indiana Pacers,24
Milwaukee Bucks,Miami Heat,21
Milwaukee Bucks,Charlotte Hornets,19
Milwaukee Bucks,Boston Celtics,17
Milwaukee Bucks,Atlanta Hawks,14
Milwaukee Bucks,Los Angeles Clippers,12
Milwaukee Bucks,Oklahoma City Thunder,10
Milwaukee Bucks,Toronto Raptors,8
Milwaukee Bucks,Cleveland Cavaliers,6
Milwaukee Bucks,San Antonio Spurs,4
Milwaukee Bucks,Golden State Warriors,3
Denver Nuggets,Philadelphia 76ers,76
Denver Nuggets,Los Angeles Lakers,80
Denver Nuggets,Brooklyn Nets,80
Denver Nuggets,Phoenix Suns,75
Denver Nuggets,Minnesota Timberwolves,69
Denver Nuggets,New Orleans Pelicans,65
Denver Nuggets,New York Knicks,61
Denver Nuggets,Sacramento Kings,58
Denver Nuggets,Milwaukee Bucks,55
Denver Nuggets,Orlando Magic,45
Denver Nuggets,Utah Jazz,41
Denver Nuggets,Washington Wizards,37
Denver Nuggets,Houston Rockets,35
Denver Nuggets,Chicago Bulls,33
Denver Nuggets,Memphis Grizzlies,32
Denver Nuggets,Dallas Mavericks,31
Denver Nuggets,Portland Trail Blazers,31
Denver Nuggets,Detroit Pistons,30
Denver Nuggets,Indiana Pacers,29
Denver Nuggets,Miami Heat,27
Denver Nuggets,Charlotte Hornets,25
Denver Nuggets,Boston Celtics,23
Denver Nuggets,Atlanta Hawks,20
Denver Nuggets,Los Angeles Clippers,18
Denver Nuggets,Oklahoma City Thunder,15
Denver Nuggets,Toronto Raptors,13
Denver Nuggets,Cleveland Cavaliers,11
Denver Nuggets,San Antonio Spurs,9
Denver Nuggets,Golden State Warriors,7
Orlando Magic,Philadelphia 76ers,78
Orlando Magic,Los Angeles Lakers,81
Orlando Magic,Brooklyn Nets,82
Orlando Magic,Phoenix Suns,78
Orlando Magic,Minnesota Timberwolves,72
Orlando Magic,New Orleans Pelicans,67
Orlando Magic,New York Knicks,62
Orlando Magic,Sacramento Kings,60
Orlando Magic,Milwaukee Bucks,58
Orlando Magic,Denver Nuggets,55
Orlando Magic,Utah Jazz,46
Orlando Magic,Washington Wizards,41
Orlando Magic,Houston Rockets,38
Orlando Magic,Chicago Bulls,35
Orlando Magic,Memphis Grizzlies,34
Orlando Magic,Dallas Mavericks,33
Orlando Magic,Portland Trail Blazers,32
Orlando Magic,Detroit Pistons,32
Orlando Magic,Indiana Pacers,31
Orlando Magic,Miami Heat,31
Orlando Magic,Charlotte Hornets,29
Orlando Magic,Boston Celtics,28
Orlando Magic,Atlanta Hawks,26
